character_name,url,gender
Dennis Dunphy (Earth-616),https://marvel.fandom.com/wiki/Dennis_Dunphy_(Earth-616),Male
Desmond Kline (Earth-616),https://marvel.fandom.com/wiki/Desmond_Kline_(Earth-616),Male
Deuce (Earth-616),https://marvel.fandom.com/wiki/Deuce_(Earth-616),Male
Devil's Heart (Earth-616),https://marvel.fandom.com/wiki/Devil%27s_Heart_(Earth-616),Agender
Diablo (Bear) (Earth-616),https://marvel.fandom.com/wiki/Diablo_(Bear)_(Earth-616),Male
Doombringer (Earth-616),https://marvel.fandom.com/wiki/Doombringer_(Earth-616),
Doppelganger (Spider-Man) (Earth-616),https://marvel.fandom.com/wiki/Doppelganger_(Spider-Man)_(Earth-616),Male
Draconus (Earth-616),https://marvel.fandom.com/wiki/Draconus_(Earth-616),Male
Dreamstalker (Earth-616),https://marvel.fandom.com/wiki/Dreamstalker_(Earth-616),
Edward Cobert (Earth-616),https://marvel.fandom.com/wiki/Edward_Cobert_(Earth-616),Male
Edward Whelan (Earth-616),https://marvel.fandom.com/wiki/Edward_Whelan_(Earth-616),Male
Elektro (Earth-616),https://marvel.fandom.com/wiki/Elektro_(Earth-616),Male
Elendil (Earth-616),https://marvel.fandom.com/wiki/Elendil_(Earth-616),
Francois Lartigue (Earth-616),https://marvel.fandom.com/wiki/Francois_Lartigue_(Earth-616),Male
Frank Bigelow (Earth-616),https://marvel.fandom.com/wiki/Frank_Bigelow_(Earth-616),Male
Frank Simpson (Earth-616),https://marvel.fandom.com/wiki/Frank_Simpson_(Earth-616),Male
Friedrich von Roehm (Earth-616),https://marvel.fandom.com/wiki/Friedrich_von_Roehm_(Earth-616),Male
Fury (Earth-238),https://marvel.fandom.com/wiki/Fury_(Earth-238),
Garthan Saal (Earth-616),https://marvel.fandom.com/wiki/Garthan_Saal_(Earth-616),Male
Georges Baptiste (Earth-616),https://marvel.fandom.com/wiki/Georges_Baptiste_(Earth-616),Male
Godstorm (Earth-616),https://marvel.fandom.com/wiki/Godstorm_(Earth-616),Male
Gorgilla (Earth-616),https://marvel.fandom.com/wiki/Gorgilla_(Earth-616),Male
Harold Hogan (Earth-616),https://marvel.fandom.com/wiki/Harold_Hogan_(Earth-616),Male
Hecatomb (Earth-616),https://marvel.fandom.com/wiki/Hecatomb_(Earth-616),
Hi-Vo (Earth-616),https://marvel.fandom.com/wiki/Hi-Vo_(Earth-616),
Ina (Earth-616),https://marvel.fandom.com/wiki/Ina_(Earth-616),
Infant Terrible (Earth-616),https://marvel.fandom.com/wiki/Infant_Terrible_(Earth-616),Male
Isaiah Bradley (Earth-616),https://marvel.fandom.com/wiki/Isaiah_Bradley_(Earth-616),Male
It the Living Colossus (Earth-616),https://marvel.fandom.com/wiki/It_the_Living_Colossus_(Earth-616),Male
Ivan Kronov (Earth-616),https://marvel.fandom.com/wiki/Ivan_Kronov_(Earth-616),Male
John Horton (Earth-616),https://marvel.fandom.com/wiki/John_Horton_(Earth-616),Male
Kerberos (Earth-616),https://marvel.fandom.com/wiki/Kerberos_(Earth-616),Male
Klaatu (Earth-616),https://marvel.fandom.com/wiki/Klaatu_(Earth-616),
Krakoa (Earth-616),https://marvel.fandom.com/wiki/Krakoa_(Earth-616),Agender
Kyle Gibney (Earth-295),https://marvel.fandom.com/wiki/Kyle_Gibney_(Earth-295),Male
Living Brain (Earth-616),https://marvel.fandom.com/wiki/Living_Brain_(Earth-616),Agender
Lobo (Johnny Wakely) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(Johnny_Wakely)_(Earth-616),Male
Lobo (William Talltrees' 1st) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(William_Talltrees%27_1st)_(Earth-616),Male
Lobo (William Talltrees' 2nd) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(William_Talltrees%27_2nd)_(Earth-616),Male
Lorenzo Scoggins (Earth-616),https://marvel.fandom.com/wiki/Lorenzo_Scoggins_(Earth-616),Male
Malcolm Murphy (Earth-616),https://marvel.fandom.com/wiki/Malcolm_Murphy_(Earth-616),Male
Man-oo (Earth-616),https://marvel.fandom.com/wiki/Man-oo_(Earth-616),
Marrina Smallwood (Earth-616),https://marvel.fandom.com/wiki/Marrina_Smallwood_(Earth-616),Female
Max (Punisher's Dog) (Earth-616),https://marvel.fandom.com/wiki/Max_(Punisher%27s_Dog)_(Earth-616),Male
Mechano (Earth-616),https://marvel.fandom.com/wiki/Mechano_(Earth-616),
Michael Fleet (Earth-616),https://marvel.fandom.com/wiki/Michael_Fleet_(Earth-616),Male
Milos Masaryk (Earth-616),https://marvel.fandom.com/wiki/Milos_Masaryk_(Earth-616),Male
Monster Android (Earth-616),https://marvel.fandom.com/wiki/Monster_Android_(Earth-616),
Mort Graves (Earth-616),https://marvel.fandom.com/wiki/Mort_Graves_(Earth-616),Male
Nameless One (Voodoo Lord) (Earth-616),https://marvel.fandom.com/wiki/Nameless_One_(Voodoo_Lord)_(Earth-616),Male
Native (Earth-616),https://marvel.fandom.com/wiki/Native_(Earth-616),Female
Nimo (Earth-616),https://marvel.fandom.com/wiki/Nimo_(Earth-616),Male
Normie (Earth-616),https://marvel.fandom.com/wiki/Normie_(Earth-616),Male
Omnivore (Earth-616),https://marvel.fandom.com/wiki/Omnivore_(Earth-616),
Paul Cartier (Earth-616),https://marvel.fandom.com/wiki/Paul_Cartier_(Earth-616),Male
Paul-Philip Ravage (Earth-928),https://marvel.fandom.com/wiki/Paul-Philip_Ravage_(Earth-928),Male
Peter Quinn (Earth-616),https://marvel.fandom.com/wiki/Peter_Quinn_(Earth-616),Male
Phaeder (Earth-616),https://marvel.fandom.com/wiki/Phaeder_(Earth-616),Male
Preak (Earth-616),https://marvel.fandom.com/wiki/Preak_(Earth-616),Agender
Preyy (Earth-616),https://marvel.fandom.com/wiki/Preyy_(Earth-616),Male
Punisher (Robot),https://marvel.fandom.com/wiki/Punisher_(Robot),
Puppy (Earth-616),https://marvel.fandom.com/wiki/Puppy_(Earth-616),Male
Raymond Bloch (Earth-616),https://marvel.fandom.com/wiki/Raymond_Bloch_(Earth-616),Male
Redwing (Earth-616),https://marvel.fandom.com/wiki/Redwing_(Earth-616),Male
Replica Model X-3 (Earth-616),https://marvel.fandom.com/wiki/Replica_Model_X-3_(Earth-616),Male
Sassafras (Earth-616),https://marvel.fandom.com/wiki/Sassafras_(Earth-616),Female
Simon Garth (Earth-616),https://marvel.fandom.com/wiki/Simon_Garth_(Earth-616),Male
Simon Walterson (Earth-97161),https://marvel.fandom.com/wiki/Simon_Walterson_(Earth-97161),Male
Sister Nil (Earth-616),https://marvel.fandom.com/wiki/Sister_Nil_(Earth-616),Female
Strider (Earth-616),https://marvel.fandom.com/wiki/Strider_(Earth-616),Male
Sumner Beckwith (Earth-616),https://marvel.fandom.com/wiki/Sumner_Beckwith_(Earth-616),Male
Super-Ego (Earth-616),https://marvel.fandom.com/wiki/Super-Ego_(Earth-616),
Theodore Sallis (Earth-616),https://marvel.fandom.com/wiki/Theodore_Sallis_(Earth-616),Male
Theodore Sallis (Earth-1610),https://marvel.fandom.com/wiki/Theodore_Sallis_(Earth-1610),Male
Thermal Man (Earth-616),https://marvel.fandom.com/wiki/Thermal_Man_(Earth-616),Male
Tomazooma (Robot) (Earth-616),https://marvel.fandom.com/wiki/Tomazooma_(Robot)_(Earth-616),
Ultimo (Earth-616),https://marvel.fandom.com/wiki/Ultimo_(Earth-616),Male
Uncegila (Earth-616),https://marvel.fandom.com/wiki/Uncegila_(Earth-616),
Valinor (Earth-616),https://marvel.fandom.com/wiki/Valinor_(Earth-616),Male
Videoman (Earth-616),https://marvel.fandom.com/wiki/Videoman_(Earth-616),Male
Vixen (British Crimelord) (Earth-616),https://marvel.fandom.com/wiki/Vixen_(British_Crimelord)_(Earth-616),Female
Wendigo (British Columbia) (Earth-616),https://marvel.fandom.com/wiki/Wendigo_(British_Columbia)_(Earth-616),Male
William McLaughlin (Earth-616),https://marvel.fandom.com/wiki/William_McLaughlin_(Earth-616),Male
William Taurens (Earth-616),https://marvel.fandom.com/wiki/William_Taurens_(Earth-616),Male
Wundarr (Earth-616),https://marvel.fandom.com/wiki/Wundarr_(Earth-616),Male
Xanth (Earth-81049),https://marvel.fandom.com/wiki/Xanth_(Earth-81049),Male
Yegor Balinov (Earth-616),https://marvel.fandom.com/wiki/Yegor_Balinov_(Earth-616),Male
Yeti (Weapon P.R.I.M.E.) (Earth-616),https://marvel.fandom.com/wiki/Yeti_(Weapon_P.R.I.M.E.)_(Earth-616),Male
Zabu (Earth-616),https://marvel.fandom.com/wiki/Zabu_(Earth-616),Male
Zar (Earth-616),https://marvel.fandom.com/wiki/Zar_(Earth-616),Male
Zzzax (Earth-616),https://marvel.fandom.com/wiki/Zzzax_(Earth-616),Agender
A'Sai (Earth-616),https://marvel.fandom.com/wiki/A%27Sai_(Earth-616),Male
Aaron Chord (Earth-616),https://marvel.fandom.com/wiki/Aaron_Chord_(Earth-616),Male
Aaron Fischer (Earth-616),https://marvel.fandom.com/wiki/Aaron_Fischer_(Earth-616),Male
Abdul Qamar (Earth-616),https://marvel.fandom.com/wiki/Abdul_Qamar_(Earth-616),Male
Abigail Boylen (Earth-616),https://marvel.fandom.com/wiki/Abigail_Boylen_(Earth-616),Female
Abyss (Cosmic Sorcerer) (Earth-616),https://marvel.fandom.com/wiki/Abyss_(Cosmic_Sorcerer)_(Earth-616),Male
Achelous (Earth-616),https://marvel.fandom.com/wiki/Achelous_(Earth-616),Male
Adolf Impossible (Earth-616),https://marvel.fandom.com/wiki/Adolf_Impossible_(Earth-616),Male
Adri Nital (Earth-616),https://marvel.fandom.com/wiki/Adri_Nital_(Earth-616),Male
Adrian Corbo (Earth-616),https://marvel.fandom.com/wiki/Adrian_Corbo_(Earth-616),Male
Aegis (Monster) (Earth-616),https://marvel.fandom.com/wiki/Aegis_(Monster)_(Earth-616),
Agent X (Nijo) (Earth-616),https://marvel.fandom.com/wiki/Agent_X_(Nijo)_(Earth-616),Male
Ahmet Abdol (Earth-616),https://marvel.fandom.com/wiki/Ahmet_Abdol_(Earth-616),Male
Ahura Boltagon (Earth-616),https://marvel.fandom.com/wiki/Ahura_Boltagon_(Earth-616),Male
Ai Apaec (Earth-616),https://marvel.fandom.com/wiki/Ai_Apaec_(Earth-616),Male
Aiden Gillespie (Earth-616),https://marvel.fandom.com/wiki/Aiden_Gillespie_(Earth-616),Male
Aireo (Earth-616),https://marvel.fandom.com/wiki/Aireo_(Earth-616),Male
Alan Fagan (Earth-616),https://marvel.fandom.com/wiki/Alan_Fagan_(Earth-616),Male
Alana Jobson (Earth-616),https://marvel.fandom.com/wiki/Alana_Jobson_(Earth-616),Female
Alejandra Jones (Earth-616),https://marvel.fandom.com/wiki/Alejandra_Jones_(Earth-616),Female
Aleksei Sytsevich (Earth-616),https://marvel.fandom.com/wiki/Aleksei_Sytsevich_(Earth-616),Male
Aleksey Lebedev (Earth-616),https://marvel.fandom.com/wiki/Aleksey_Lebedev_(Earth-616),Male
Aleta Ogord (Earth-691),https://marvel.fandom.com/wiki/Aleta_Ogord_(Earth-691),Female
Alex Wildman (Earth-616),https://marvel.fandom.com/wiki/Alex_Wildman_(Earth-616),Male
Alexander Aaron (Earth-616),https://marvel.fandom.com/wiki/Alexander_Aaron_(Earth-616),Male
Alexander Ellis (Earth-616),https://marvel.fandom.com/wiki/Alexander_Ellis_(Earth-616),Male
Alexander Woolcot (Earth-616),https://marvel.fandom.com/wiki/Alexander_Woolcot_(Earth-616),Male
Alfonso Lopez (Earth-616),https://marvel.fandom.com/wiki/Alfonso_Lopez_(Earth-616),Male
Alioth (Temporal Limbo),https://marvel.fandom.com/wiki/Alioth_(Temporal_Limbo),
Alisher Sham (Earth-616),https://marvel.fandom.com/wiki/Alisher_Sham_(Earth-616),Male
Alison Blaire (Earth-295),https://marvel.fandom.com/wiki/Alison_Blaire_(Earth-295),Female
Alison Blaire (Earth-1610),https://marvel.fandom.com/wiki/Alison_Blaire_(Earth-1610),Female
Allan Lewis (Earth-616),https://marvel.fandom.com/wiki/Allan_Lewis_(Earth-616),Male
Allen Marc Yuricic (Earth-616),https://marvel.fandom.com/wiki/Allen_Marc_Yuricic_(Earth-616),Male
Alysande Stuart (Earth-9809),https://marvel.fandom.com/wiki/Alysande_Stuart_(Earth-9809),Female
Amara Aquilla (Earth-616),https://marvel.fandom.com/wiki/Amara_Aquilla_(Earth-616),Female
Ambrose Meek (Earth-616),https://marvel.fandom.com/wiki/Ambrose_Meek_(Earth-616),Male
Amelia Weatherly (Earth-616),https://marvel.fandom.com/wiki/Amelia_Weatherly_(Earth-616),Female
American Samurai (Earth-616),https://marvel.fandom.com/wiki/American_Samurai_(Earth-616),Male
Amiko Kobayashi (Earth-616),https://marvel.fandom.com/wiki/Amiko_Kobayashi_(Earth-616),Female
Amphibius (Earth-616),https://marvel.fandom.com/wiki/Amphibius_(Earth-616),Male
Ana Shwartz (Earth-616),https://marvel.fandom.com/wiki/Ana_Shwartz_(Earth-616),Female
Ananastasia Rinaldi (Earth-616),https://marvel.fandom.com/wiki/Ananastasia_Rinaldi_(Earth-616),Female
Andrea Benton (Earth-616),https://marvel.fandom.com/wiki/Andrea_Benton_(Earth-616),Female
Andrea Roarke (Earth-616),https://marvel.fandom.com/wiki/Andrea_Roarke_(Earth-616),Female
Andrea von Strucker (Clone) (Earth-616),https://marvel.fandom.com/wiki/Andrea_von_Strucker_(Clone)_(Earth-616),Female
Andrea von Strucker (Earth-616),https://marvel.fandom.com/wiki/Andrea_von_Strucker_(Earth-616),Female
Andreas von Strucker (Earth-616),https://marvel.fandom.com/wiki/Andreas_von_Strucker_(Earth-616),Male
Andrew Graves (Earth-616),https://marvel.fandom.com/wiki/Andrew_Graves_(Earth-616),Male
Android Man (Earth-616),https://marvel.fandom.com/wiki/Android_Man_(Earth-616),Male
Andromeda Attumasen (Earth-616),https://marvel.fandom.com/wiki/Andromeda_Attumasen_(Earth-616),Female
André Gerard (Earth-616),https://marvel.fandom.com/wiki/Andr%C3%A9_Gerard_(Earth-616),Male
Anelle (Earth-616),https://marvel.fandom.com/wiki/Anelle_(Earth-616),Female
Angel Salvadore (Earth-616),https://marvel.fandom.com/wiki/Angel_Salvadore_(Earth-616),Female
Angela Cairn (Earth-616),https://marvel.fandom.com/wiki/Angela_Cairn_(Earth-616),Female
Angelica Jones (Earth-616),https://marvel.fandom.com/wiki/Angelica_Jones_(Earth-616),Female
Angelina Brancale (Earth-616),https://marvel.fandom.com/wiki/Angelina_Brancale_(Earth-616),Female
Angelo Espinosa (Earth-616),https://marvel.fandom.com/wiki/Angelo_Espinosa_(Earth-616),Male
Anna Watson (Earth-616),https://marvel.fandom.com/wiki/Anna_Watson_(Earth-616),Female
Annalee (Earth-616),https://marvel.fandom.com/wiki/Annalee_(Earth-616),Female
Anne Weying (Earth-616),https://marvel.fandom.com/wiki/Anne_Weying_(Earth-616),Female
Anne-Marie Cortez (Earth-616),https://marvel.fandom.com/wiki/Anne-Marie_Cortez_(Earth-616),Female
Anti-Cap (Earth-616),https://marvel.fandom.com/wiki/Anti-Cap_(Earth-616),Male
Antoine Delsoin (Earth-616),https://marvel.fandom.com/wiki/Antoine_Delsoin_(Earth-616),Male
Anton Vanko (Crimson Dynamo) (Earth-616),https://marvel.fandom.com/wiki/Anton_Vanko_(Crimson_Dynamo)_(Earth-616),Male
Antonio Rodriguez (Earth-616),https://marvel.fandom.com/wiki/Antonio_Rodriguez_(Earth-616),Male
Antonio Rojo (Earth-616),https://marvel.fandom.com/wiki/Antonio_Rojo_(Earth-616),Male
Apache Kid (Rosa) (Earth-616),https://marvel.fandom.com/wiki/Apache_Kid_(Rosa)_(Earth-616),Female
Ape (Old West) (Earth-616),https://marvel.fandom.com/wiki/Ape_(Old_West)_(Earth-616),Male
April Parker (Earth-982),https://marvel.fandom.com/wiki/April_Parker_(Earth-982),Female
Arc (Imperial Guard) (Earth-616),https://marvel.fandom.com/wiki/Arc_(Imperial_Guard)_(Earth-616),Male
Archibald Dyker (Earth-616),https://marvel.fandom.com/wiki/Archibald_Dyker_(Earth-616),Male
Ard-Con (Earth-616),https://marvel.fandom.com/wiki/Ard-Con_(Earth-616),Male
Ardina (Earth-616),https://marvel.fandom.com/wiki/Ardina_(Earth-616),Female
Ares (Earth-616),https://marvel.fandom.com/wiki/Ares_(Earth-616),Male
Aria (Earth-616),https://marvel.fandom.com/wiki/Aria_(Earth-616),Female
Ariel Tremmore (Earth-616),https://marvel.fandom.com/wiki/Ariel_Tremmore_(Earth-616),Female
Arkady Rossovich (Earth-616),https://marvel.fandom.com/wiki/Arkady_Rossovich_(Earth-616),Male
Arkady Rossovich (Earth-1610),https://marvel.fandom.com/wiki/Arkady_Rossovich_(Earth-1610),Male
Arkon (Earth-616),https://marvel.fandom.com/wiki/Arkon_(Earth-616),Male
Armorer (Earth-616),https://marvel.fandom.com/wiki/Armorer_(Earth-616),Male
Arnold Lundberg (Earth-616),https://marvel.fandom.com/wiki/Arnold_Lundberg_(Earth-616),Male
Arthur Centino (Earth-1610),https://marvel.fandom.com/wiki/Arthur_Centino_(Earth-1610),Male
Arthur Douglas (Earth-616),https://marvel.fandom.com/wiki/Arthur_Douglas_(Earth-616),Male
Arthur Stacy (Earth-616),https://marvel.fandom.com/wiki/Arthur_Stacy_(Earth-616),Male
Ashley Barton (Earth-807128),https://marvel.fandom.com/wiki/Ashley_Barton_(Earth-807128),Female
Ashley Crawford (Earth-616),https://marvel.fandom.com/wiki/Ashley_Crawford_(Earth-616),Female
Astra (Imperial Guard) (Earth-616),https://marvel.fandom.com/wiki/Astra_(Imperial_Guard)_(Earth-616),Female
Attuma (Earth-616),https://marvel.fandom.com/wiki/Attuma_(Earth-616),Male
Ava Ayala (Earth-616),https://marvel.fandom.com/wiki/Ava_Ayala_(Earth-616),Female
Avery Connor (Earth-616),https://marvel.fandom.com/wiki/Avery_Connor_(Earth-616),Female
Awesome Android (Earth-616),https://marvel.fandom.com/wiki/Awesome_Android_(Earth-616),Male
Axel Cluney (Earth-616),https://marvel.fandom.com/wiki/Axel_Cluney_(Earth-616),Male
Aña Corazón (Earth-616),https://marvel.fandom.com/wiki/A%C3%B1a_Coraz%C3%B3n_(Earth-616),Female
Balder Odinson (Earth-616),https://marvel.fandom.com/wiki/Balder_Odinson_(Earth-616),Male
Bambina Arbogast (Earth-616),https://marvel.fandom.com/wiki/Bambina_Arbogast_(Earth-616),Female
Barbara Robb (Earth-616),https://marvel.fandom.com/wiki/Barbara_Robb_(Earth-616),Female
Barbarus (Earth-616),https://marvel.fandom.com/wiki/Barbarus_(Earth-616),Male
Barnabus Mullen (Earth-616),https://marvel.fandom.com/wiki/Barnabus_Mullen_(Earth-616),Male
Battering Ram (Earth-616),https://marvel.fandom.com/wiki/Battering_Ram_(Earth-616),Male
Beatta Dubiel (Earth-616),https://marvel.fandom.com/wiki/Beatta_Dubiel_(Earth-616),Female
Beautiful Dreamer (Morlock) (Earth-616),https://marvel.fandom.com/wiki/Beautiful_Dreamer_(Morlock)_(Earth-616),Female
Beckah Parker (Earth-616),https://marvel.fandom.com/wiki/Beckah_Parker_(Earth-616),Female
Bella Donna Boudreaux (Earth-616),https://marvel.fandom.com/wiki/Bella_Donna_Boudreaux_(Earth-616),Female
Benjamin Beckley (Earth-616),https://marvel.fandom.com/wiki/Benjamin_Beckley_(Earth-616),Male
Benjamin Grimm (Earth-1610),https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-1610),Male
Benjamin Grimm (Earth-50701),https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-50701),Male
Benjamin Parker (Earth-616),https://marvel.fandom.com/wiki/Benjamin_Parker_(Earth-616),Male
Benjamin Parker (Earth-1610),https://marvel.fandom.com/wiki/Benjamin_Parker_(Earth-1610),Male
Benjamin Parker (Earth-6078),https://marvel.fandom.com/wiki/Benjamin_Parker_(Earth-6078),Male
Benjamin Ruff (Earth-616),https://marvel.fandom.com/wiki/Benjamin_Ruff_(Earth-616),Male
Benjamin Tibbetts (Earth-616),https://marvel.fandom.com/wiki/Benjamin_Tibbetts_(Earth-616),Male
Benjamin Urich (Earth-616),https://marvel.fandom.com/wiki/Benjamin_Urich_(Earth-616),Male
Bennet du Paris (Earth-616),https://marvel.fandom.com/wiki/Bennet_du_Paris_(Earth-616),Male
Berserker (Primitive) (Earth-616),https://marvel.fandom.com/wiki/Berserker_(Primitive)_(Earth-616),Male
Bessie (Earth-616),https://marvel.fandom.com/wiki/Bessie_(Earth-616),Female
Beta Ray Bill (Earth-616),https://marvel.fandom.com/wiki/Beta_Ray_Bill_(Earth-616),Male
Bete Noir (Earth-616),https://marvel.fandom.com/wiki/Bete_Noir_(Earth-616),
Bethany Cabe (Earth-616),https://marvel.fandom.com/wiki/Bethany_Cabe_(Earth-616),Female
Bird-Brain (Earth-616),https://marvel.fandom.com/wiki/Bird-Brain_(Earth-616),Male
Black Brigade (Earth-616),https://marvel.fandom.com/wiki/Black_Brigade_(Earth-616),Male
Black Fox (Thief) (Earth-616),https://marvel.fandom.com/wiki/Black_Fox_(Thief)_(Earth-616),Male
Blackagar Boltagon (Earth-616),https://marvel.fandom.com/wiki/Blackagar_Boltagon_(Earth-616),Male
Blackie Drago (Earth-1610),https://marvel.fandom.com/wiki/Blackie_Drago_(Earth-1610),Male
Blackie Gaxton (Earth-616),https://marvel.fandom.com/wiki/Blackie_Gaxton_(Earth-616),Male
Blackthorn (Earth-616),https://marvel.fandom.com/wiki/Blackthorn_(Earth-616),Male
Blaine Colt (Earth-616),https://marvel.fandom.com/wiki/Blaine_Colt_(Earth-616),Male
Blanche Sitznski (Earth-616),https://marvel.fandom.com/wiki/Blanche_Sitznski_(Earth-616),Female
Blank (Clyde) (Earth-616),https://marvel.fandom.com/wiki/Blank_(Clyde)_(Earth-616),Male
Blastaar (Earth-616),https://marvel.fandom.com/wiki/Blastaar_(Earth-616),Male
Blimp (Earth-616),https://marvel.fandom.com/wiki/Blimp_(Earth-616),Male
Blindspot (Mutant) (Earth-616),https://marvel.fandom.com/wiki/Blindspot_(Mutant)_(Earth-616),Female
Bloodscream (Earth-616),https://marvel.fandom.com/wiki/Bloodscream_(Earth-616),Male
Blow-Hard (Earth-616),https://marvel.fandom.com/wiki/Blow-Hard_(Earth-616),Male
Bob Dobalina (Earth-616),https://marvel.fandom.com/wiki/Bob_Dobalina_(Earth-616),Male
Bonebreaker (Earth-616),https://marvel.fandom.com/wiki/Bonebreaker_(Earth-616),Male
Bonham (Earth-616),https://marvel.fandom.com/wiki/Bonham_(Earth-616),Male
Boris Karela (Earth-616),https://marvel.fandom.com/wiki/Boris_Karela_(Earth-616),Male
Boss Morgan (Earth-616),https://marvel.fandom.com/wiki/Boss_Morgan_(Earth-616),Male
Bounty (Humanoid) (Earth-616),https://marvel.fandom.com/wiki/Bounty_(Humanoid)_(Earth-616),Female
Bradley Kroon (Earth-616),https://marvel.fandom.com/wiki/Bradley_Kroon_(Earth-616),Male
Brandon Sharpe (Earth-616),https://marvel.fandom.com/wiki/Brandon_Sharpe_(Earth-616),Male
Brell (Earth-616),https://marvel.fandom.com/wiki/Brell_(Earth-616),Male
Brenda Drago (Earth-982),https://marvel.fandom.com/wiki/Brenda_Drago_(Earth-982),Female
Brendan Doyle (Earth-616),https://marvel.fandom.com/wiki/Brendan_Doyle_(Earth-616),Male
Brent Jackson (Earth-616),https://marvel.fandom.com/wiki/Brent_Jackson_(Earth-616),Male
Brian Cruz (Earth-616),https://marvel.fandom.com/wiki/Brian_Cruz_(Earth-616),Male
Brian Falsworth (Earth-616),https://marvel.fandom.com/wiki/Brian_Falsworth_(Earth-616),Male
Brian Muldoon (Earth-616),https://marvel.fandom.com/wiki/Brian_Muldoon_(Earth-616),Male
Bride of Nine Spiders (Earth-616),https://marvel.fandom.com/wiki/Bride_of_Nine_Spiders_(Earth-616),Female
Brightwind (Earth-616),https://marvel.fandom.com/wiki/Brightwind_(Earth-616),Male
Brock Jones (Earth-616),https://marvel.fandom.com/wiki/Brock_Jones_(Earth-616),Male
Brock Rumlow (Earth-616),https://marvel.fandom.com/wiki/Brock_Rumlow_(Earth-616),Male
Bruce Banner (Earth-616),https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-616),Male
Bruce Bravelle (Earth-616),https://marvel.fandom.com/wiki/Bruce_Bravelle_(Earth-616),Male
Brunnhilde (Earth-616),https://marvel.fandom.com/wiki/Brunnhilde_(Earth-616),Female
Brynocki (Earth-616),https://marvel.fandom.com/wiki/Brynocki_(Earth-616),Male
Buck Cashman (Earth-616),https://marvel.fandom.com/wiki/Buck_Cashman_(Earth-616),Male
Buck Chisholm (Earth-616),https://marvel.fandom.com/wiki/Buck_Chisholm_(Earth-616),Male
Buford Lange (Earth-616),https://marvel.fandom.com/wiki/Buford_Lange_(Earth-616),Male
Buford Wilson (Earth-616),https://marvel.fandom.com/wiki/Buford_Wilson_(Earth-616),Male
